Model year,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating
2026,13.5,9.9,11.9,24,279,4,6
2026,17.0,11.0,14.3,20,336,3,4
2026,19.6,12.7,16.5,17,385,2,5
2026,19.6,13.5,16.8,17,393,2,5
2026,15.9,11.8,14.1,20,330,3,5
2026,22.0,15.3,19.0,15,442,1,5
2026,13.9,10.5,12.4,23,290,4,5
2026,12.9,10.9,12.0,24,289,4,6
2026,12.9,11.0,12.1,23,291,4,6
2026,14.0,13.6,13.8,20,325,3,5
2026,14.0,12.4,13.3,21,320,3,6
2026,13.9,12.9,13.4,21,325,3,6
2026,12.7,11.7,12.2,23,287,4,5
2026,15.7,14.8,15.3,18,358,2,5
2026,13.8,12.4,13.2,21,310,3,6
2026,13.8,12.4,13.2,21,310,3,6
2026,9.3,7.8,8.6,33,201,5,6
2026,11.2,8.7,10.1,28,237,5,5
2026,10.2,9.0,9.7,29,227,5,6
2026,8.9,6.9,8.0,35,185,6,6
2026,9.2,7.4,8.4,34,197,5,6
2026,10.2,7.6,9.1,31,213,5,5
2026,5.6,6.5,6.0,47,140,7,7
2026,15.3,10.8,13.3,21,312,3,5
2026,11.9,8.7,10.4,27,245,5,6
2026,13.3,9.6,11.6,24,273,4,5
2026,12.1,10.1,11.2,25,263,4,6
2026,13.8,10.6,12.4,23,290,4,5
2026,12.7,9.5,11.2,25,264,4,5
2026,14.2,9.7,12.2,23,286,4,5
2026,14.4,10.0,12.4,23,293,4,5
2026,13.1,10.2,11.8,24,277,4,5
2026,14.0,10.2,12.3,23,288,4,5
2026,14.8,10.4,12.8,22,301,3,5
2026,11.3,10.0,10.7,26,251,4,5
2026,16.7,12.8,15.0,19,352,3,5
2026,22.8,15.9,19.7,14,460,1,2
2026,14.3,11.2,12.9,22,303,3,5
2026,15.2,11.9,13.7,21,322,3,5
2026,10.6,7.8,9.4,30,219,5,5
2026,11.2,7.8,9.7,29,227,5,5
2026,11.2,8.7,10.1,28,237,5,5
2026,5.6,6.8,6.2,46,146,7,7
2026,5.9,7.0,6.4,44,150,7,7
2026,6.0,7.3,6.6,43,154,7,7
2026,10.7,7.1,9.1,31,213,5,6
2026,15.5,10.0,13.0,22,306,3,2
2026,15.7,10.6,13.4,21,314,3,2
2026,16.5,10.9,13.9,20,326,3,2
2026,17.0,10.8,14.2,20,331,3,2
2026,23.5,13.9,19.2,15,451,1,2
2026,12.2,9.9,11.2,25,262,4,6
2026,13.0,10.0,11.6,24,273,4,5
2026,14.9,12.8,14.0,20,326,3,5
2026,11.7,8.4,10.2,28,239,5,5
2026,14.3,10.7,12.7,22,298,4,4
2026,12.1,8.4,10.4,27,245,5,6
2026,15.3,10.0,12.9,22,303,3,5
2026,13.6,9.6,11.8,24,274,4,4
2026,12.0,8.9,10.6,27,249,4,6
2026,13.1,9.4,11.5,25,269,4,5
2026,13.7,10.9,12.4,23,290,4,5
2026,12.5,9.8,11.3,25,265,4,6
2026,14.3,10.5,12.6,22,295,4,5
2026,12.1,10.1,11.2,25,263,4,6
2026,12.3,10.2,11.4,25,267,4,6
2026,13.6,10.7,12.3,23,287,4,6
2026,14.1,13.8,14.0,20,328,3,6
2026,14.8,15.1,14.9,19,350,3,6
2026,13.5,11.3,12.5,23,293,4,6
2026,10.1,8.3,9.3,30,250,4,4
2026,14.9,12.0,13.6,21,319,3,6
2026,14.2,12.9,13.6,21,319,3,6
2026,14.6,13.6,14.2,20,332,3,6
2026,10.7,9.3,10.1,28,270,4,4
2026,11.0,9.9,10.5,27,283,4,4
2026,15.9,13.0,14.6,19,341,3,6
2026,15.2,12.2,13.9,20,326,3,2
2026,21.3,16.6,19.2,15,320,3,2
2026,16.4,13.5,15.1,19,354,3,6
2026,16.0,12.1,14.3,20,335,3,5
2026,17.1,14.0,15.7,18,368,2,5
2026,12.2,12.0,12.1,23,326,3,2
2026,17.1,14.7,16.0,18,377,2,5
2026,9.2,8.3,8.8,32,207,5,6
2026,9.9,8.5,9.3,30,219,5,6
2026,9.9,8.9,9.5,30,222,5,6
2026,11.2,8.9,10.2,28,274,4,4
2026,15.7,12.0,14.0,20,329,3,6
2026,11.5,9.7,10.7,26,287,4,4
2026,15.8,12.2,14.2,20,333,3,6
2026,16.6,13.0,15.0,19,352,3,5
2026,11.2,8.9,10.2,28,274,4,4
2026,15.7,12.0,14.0,20,329,3,6
2026,11.5,9.7,10.7,26,287,4,4
2026,17.1,12.6,15.1,19,353,3,6
2026,16.6,13.0,15.0,19,352,3,5
2026,7.7,6.1,7.0,40,164,6,6
2026,4.8,5.4,5.0,56,119,7,6
2026,7.4,5.8,6.7,42,156,6,6
2026,7.6,6.0,6.9,41,161,6,6
2026,4.7,5.1,4.9,58,114,8,6
2026,8.7,6.4,7.7,37,180,6,5
2026,8.4,7.1,7.8,36,183,6,6
2026,9.1,7.6,8.4,34,197,5,6
2026,6.0,6.9,6.4,44,151,7,7
2026,6.3,7.2,6.7,42,158,6,7
2026,9.1,7.4,8.3,34,194,6,6
2026,9.5,7.8,8.7,32,204,5,6
2026,12.2,8.5,10.6,27,248,4,4
2026,12.1,9.2,10.8,26,254,4,4
2026,12.6,9.9,11.4,25,269,4,4
2026,5.0,5.7,5.4,52,127,7,6
2026,12.8,9.9,11.5,25,271,4,4
2026,12.8,10.2,11.6,24,273,4,4
