PC1,PC2,CO2_rating,Smog_rating
-3.3654440154960126,-0.10405950250683844,6,6
-2.7058369165893477,-0.7375139006681455,6,5
-0.6602824065800399,-0.21881326275699936,5,5
0.9335176563963511,-0.6051093674863445,4,4
1.9371417692763284,-0.30583675069914473,4,4
-0.6016201494480377,-0.18810887799708262,5,5
-0.22611781097733105,-0.08167669998336555,5,5
-1.9167889509536793,0.23672869665936816,5,6
-0.22366966844064692,-0.9325773640095136,5,4
-0.33079340819152026,-0.9203172865757292,5,4
-1.0043896570990187,0.4764037136120562,5,6
1.3211346137036974,-0.49334882683296666,4,4
1.6666157232615253,-0.40525034446379954,4,4
0.22246268581070097,-2.3722685711115234,5,2
3.895066666162376,-1.4804706333920028,3,2
3.5506299818756695,-1.5727631382896803,3,2
3.819200509004843,-1.4533325384686036,3,2
-0.9862195858246046,-1.0915512309878046,5,4
3.8825959755203887,-1.4311986295218775,3,2
3.8402221776275107,-1.4372356723910322,3,2
4.049979712664165,-1.4344966485167847,3,2
-1.321723709270467,-2.736410494637265,5,2
-2.8795510167846827,0.8004167367458638,6,7
-2.1407887961291503,0.9662769781325238,5,7
-2.9923282155369524,0.7781048101548563,6,7
-2.8347906803801584,0.03072164496704059,6,6
1.0679270956142066,-0.5927305699422988,4,4
3.000565874633042,-0.06944682496259691,3,4
1.8505680308398007,-0.38375432740648957,4,4
1.931787125227139,-0.3865274299017189,4,4
1.9934650230004134,-0.3620015303136272,4,4
-1.1765496987372848,-1.1513007438968097,5,4
1.9444341619874472,-0.37825591980872997,4,4
2.062037934037136,-0.3448832995146432,4,4
-2.5277422778744945,0.11122308447424582,6,6
1.9799129466168777,-0.36481120815046736,4,4
2.1237158318104106,-0.32035739992655154,4,4
-2.39658642944127,0.14740538260517247,6,6
-2.6273604325190023,0.09004549799438903,6,6
2.0120485371268164,-1.9182008197526315,4,2
-2.64136999309605,0.8432317825857009,6,7
-1.5231184214980658,-0.43929074276125635,5,5
-2.246158974270519,0.9294202127705701,5,7
-1.2986084492646484,-0.3904728670507315,5,5
-2.83103216311917,0.8238082962228049,6,7
-1.8436070061866825,0.29261295401165394,5,6
-1.1163595273138343,0.49568562329479665,5,6
1.7444683057838342,-0.38576858993638224,4,4
4.127989905021072,0.2174070986153709,3,4
-0.6741156210387665,0.5919165357974266,5,6
-0.36172863788823023,0.6763414990258726,5,6
2.8594993722950983,-0.09204296913259058,3,4
-2.409114491129899,0.13032136480465542,6,6
-0.8817544473064631,-1.0492326333697017,5,4
0.6636234462103724,-0.6923097955531637,4,4
0.5609806897639884,0.9022217521288073,4,6
-2.7807990610034685,0.09782853255182593,6,6
-1.5844095144569712,0.39004886058802724,5,6
-1.051728560527518,0.4862010106993858,5,6
-2.737401248415683,0.08959123545730378,6,6
-1.4546099623790822,0.3354987881915687,5,6
-0.9914614822635194,-0.328864252686221,5,5
-1.161646054180622,0.4102474024086056,5,6
-0.6660344300769008,-0.23449244163909644,5,5
-0.45758016752083813,-0.18944292857542505,5,5
1.9333231472694994,-0.4079389398472344,4,4
2.4848651129771917,-0.26021268363793226,3,4
-0.2335822026348736,-0.1334878828830615,5,5
-1.3929320646058077,0.3600246877796605,5,6
0.3949083328517157,-0.7744842104429144,4,4
-0.9673748504272276,0.46843691532480347,5,6
0.7471654806013114,-0.6849808891553271,4,4
0.8765103963783883,-0.6660377698993049,4,4
4.223540152293283,-1.3906657420603292,3,2
4.242963227245359,-1.3809893930489203,3,2
1.2321762170450303,-0.5810375960578531,4,4
3.8495278539399123,0.9415998187257528,3,5
4.495463201622348,-1.255196855900602,3,2
-0.9354237137865228,0.49519728213672953,5,6
-0.6167726997916723,0.588164254265434,5,6
0.9409246770072518,-0.619654206257291,4,4
-0.7922518110121232,0.5556007680500118,5,6
0.9277656328994901,-0.6207885463684416,4,4
0.5552286662671274,0.8865425732467103,4,6
1.403075147254722,1.1067290602169477,4,6
2.3488911333898495,1.376433203705576,3,6
2.9567817650934,1.5646783268093456,3,6
3.3993206256386728,1.6509056334993355,3,6
1.801753855984287,-0.4558768931390172,4,4
2.3367872358476602,-1.874235352686783,4,2
4.204117077341207,-1.4003420910717383,3,2
4.456617051718196,-1.2745495539234202,3,2
4.495463201622348,-1.255196855900602,3,2
4.456617051718196,-1.2745495539234202,3,2
-1.6722865253740904,0.35444177307010616,5,6
-1.5536587386294947,0.3735400534005158,5,6
1.5792222013647335,1.1796185729784794,4,6
-0.28651587351252716,-0.8970955350453492,4,4
2.718346980583386,1.4466180399688116,3,6
2.1943915297400496,1.342214873991214,3,6
3.0817925577539893,1.5835061083324857,3,6
0.36433823086070966,-0.7083519129511002,4,4
0.729516472574708,-0.6000892361373065,4,4
3.0860288555912025,1.5558394015926187,3,6
3.6709085327559086,-1.4423643245635012,3,2
4.265755506921417,-1.3028208952350424,3,2
3.464919456402741,1.6476881147250337,3,6
3.1568323695974647,0.7497623012156773,3,5
3.944253256720434,0.9537090758733573,3,5
1.6041599634273682,-1.937215884490474,4,2
3.944253256720434,0.9537090758733573,3,5
0.39560101403563974,-0.73199789012045,4,4
2.9992948344406707,1.4971454664034929,3,6
0.8725324398070006,-0.587148946751972,4,4
3.6961489491909765,1.6597176510705383,3,6
0.17684306529908317,-0.765136586948878,4,4
3.110515600574365,1.5307885855048489,3,6
-2.787694074266916,0.10523620134093396,6,6
-0.8544610663581134,0.6226228714220581,6,6
-2.931791427240757,0.04021423024863395,6,6
-1.6854455694818522,0.3533074329589556,5,6
